[SYS] 2025/10/16 - 12:25:13 | initializing token encoders 
[SYS] 2025/10/16 - 12:25:13 | token encoders initialized 
[SYS] 2025/10/16 - 12:25:13 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/16 - 12:25:13 | database migration started 
[SYS] 2025/10/16 - 12:25:13 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/16 - 12:25:13 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/16 - 12:25:13 | New API v0.0.0 started 
[SYS] 2025/10/16 - 12:25:13 | running in debug mode 
[SYS] 2025/10/16 - 12:25:13 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 12:25:13 | 保存数据看板数据成功，共保存0条数据 
[ERR] 2025/10/16 - 12:25:20 | 20251016122520283170000P2bSXzAs | user 1 | 分组 default 下模型 coze-workflow 无可用渠道（distributor） 
[GIN] 2025/10/16 - 12:25:20 | 20251016122520283170000P2bSXzAs | 503 |     900.167µs |             ::1 |    POST /v1/chat/completions
[SYS] 2025/10/16 - 12:25:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:25:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:25:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:25:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:25:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:25:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:26:13 | syncing options from database 
[SYS] 2025/10/16 - 12:26:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:26:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:26:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:26:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:26:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:26:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:26:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:26:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:27:13 | syncing options from database 
[SYS] 2025/10/16 - 12:27:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:27:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:27:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:27:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:27:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:27:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:27:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:27:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:28:13 | syncing options from database 
[SYS] 2025/10/16 - 12:28:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:28:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:28:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:28:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:28:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:28:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:28:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:28:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:29:13 | syncing options from database 
[SYS] 2025/10/16 - 12:29:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:29:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:29:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:29:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:29:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:29:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:29:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:29:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:30:13 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 12:30:13 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/16 - 12:30:13 | syncing options from database 
[SYS] 2025/10/16 - 12:30:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:30:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:30:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:30:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:30:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:30:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:30:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:30:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:31:13 | syncing options from database 
[SYS] 2025/10/16 - 12:31:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:31:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:31:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:31:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:31:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:31:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:31:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:31:58 | 任务进度轮询完成 
[GIN] 2025/10/16 - 12:32:08 | 202510161232087701350005wzYsybW | 200 |      62.917µs |             ::1 |     GET /api/status
[SYS] 2025/10/16 - 12:32:13 | syncing options from database 
[SYS] 2025/10/16 - 12:32:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:32:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:32:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:32:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:32:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:32:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:32:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:32:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:33:13 | syncing options from database 
[SYS] 2025/10/16 - 12:33:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:33:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:33:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:33:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:33:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:33:43 | 任务进度轮询完成 
