[SYS] 2025/11/17 - 10:13:15 | 未找到 .env 文件，使用默认环境变量，如果需要，请创建 .env 文件并设置相关变量 
[SYS] 2025/11/17 - 10:13:15 | No .env file found, using default environment variables. If needed, please create a .env file and set the relevant variables. 
[SYS] 2025/11/17 - 10:13:15 | initializing token encoders 
[SYS] 2025/11/17 - 10:13:15 | token encoders initialized 
[SYS] 2025/11/17 - 10:13:15 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/11/17 - 10:13:15 | database migration started 
[SYS] 2025/11/17 - 10:13:15 | system is already initialized at: 2025-11-14 17:16:48 +0800 CST 
[SYS] 2025/11/17 - 10:13:15 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/11/17 - 10:13:15 | New API v0.0.0 started 
[SYS] 2025/11/17 - 10:13:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:13:15 | 保存数据看板数据成功，共保存0条数据 
[GIN] 2025/11/17 - 10:13:19 | 20251117101319945369000LDRCZ7QS | 200 |    3.047667ms |       127.0.0.1 |     GET /
[SYS] 2025/11/17 - 10:13:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:13:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:13:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:13:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:14:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:14:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:14:15 | syncing options from database 
[SYS] 2025/11/17 - 10:14:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:14:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:14:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:14:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:14:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:14:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:15:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:15:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:15:15 | syncing options from database 
[SYS] 2025/11/17 - 10:15:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:15:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:15:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:15:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:15:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:15:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:16:00 | 任务进度轮询开始 
